GID_1,GID_2,POP_ZONE,YEAR,LLPC,LLPC_PCT_CHANGE,LOG_LUMINOSITY_SUM,LUMINOSITY_PCT_CHANGE,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,ECON_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.1_1,VNM.1.10_1,rural,2014,7.814753175619471e-05,,6.289810325198312,,,,0.0007855141648006749,,80486.359375,,70.77151335311572,51.038575667655785,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,total,2014,4.323341353741095e-05,-0.9566051353162575,8.005594747128725,,,,0.0005241276341439937,-4.94777394519601,185171.470214844,-0.3472350626509857,62.04225352112676,55.07042253521127,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.10_1,urban,2014,7.464279709501093e-05,-0.09730139087469336,7.807766763672921,,,,0.000323414534903217,5.906257366142675,104601.744140625,-2.781084952567192,53.7010159651669,62.264150943396224,An Giang,Mekong River Delta,Thoai Son,#00AAAE
VNM.1_1,VNM.1.11_1,rural,2014,8.617990343233527e-05,-15.370052975923954,6.632941299426991,,,,0.0012963164577840264,2.311503585167962,76966.21875,7.775564773691213,74.48071216617211,62.908011869436194,An Giang,Mekong River Delta,Tri Ton,#00AAAE
VNM.1_1,VNM.1.11_1,total,2014,5.947223025595551e-05,-1.8959078344425229,8.131280744888462,-16.73456089473647,-2.4586992412159114,-4.828714592701655,0.0008904516985583753,4.11492229705499,136723.9921875,-0.31265913650464494,53.66197183098592,65.91549295774648,An Giang,Mekong River Delta,Tri Ton,#00AAAE
VNM.1_1,VNM.1.11_1,urban,2014,0.00013104004891603197,5.746018717161205,7.878699633389074,,,,0.00036545523548153075,12.010562053163332,60124.3642578125,-7.413319789260209,43.75907111756168,68.50507982583454,An Giang,Mekong River Delta,Tri Ton,#00AAAE
VNM.1_1,VNM.1.1_1,rural,2014,0.00011302721019947462,,4.683473188032442,,,,0.0004961253367932296,,41436.6875,,34.347181008902076,30.712166172106826,An Giang,Mekong River Delta,An Phu,#00AAAE
VNM.1_1,VNM.1.1_1,total,2014,4.439877883168934e-05,-7.375648454240292,7.930819300585412,14.410699648616943,-1.8533351296665224,-2.202375536816281,0.0002640245247663222,7.835352454790123,178626.969238281,0.2907328369849971,59.71830985915493,33.52112676056338,An Giang,Mekong River Delta,An Phu,#00AAAE
VNM.1_1,VNM.1.1_1,urban,2014,5.967616822112719e-05,-0.22508300979966478,7.89154012039685,,,,0.00020117815665474006,10.31298515989787,132239.390625,-1.5799007335525417,59.86937590711176,34.97822931785196,An Giang,Mekong River Delta,An Phu,#00AAAE
VNM.1_1,VNM.1.2_1,rural,2014,0.00010737601912529389,1.1294097903510103,7.187644183103197,,,,0.0003559767481721326,-2.7036969143064637,66939.0078125,-1.3060413671339477,79.52522255192878,17.359050445103858,Bac Kan,Northern Midlands and Mountain Areas,Cho Moi,#F05223
VNM.1_1,VNM.1.2_1,total,2014,2.722159183245127e-05,0.28013862707079173,9.673957427548888,-5.662149254342963,-1.5249754160149953,-0.4929100432110478,0.00022271271736174243,1.3462948468385694,355378.094238281,-0.3487174402799109,87.25352112676057,27.1830985915493,Bac Kan,Northern Midlands and Mountain Areas,Cho Moi,#F05223
VNM.1_1,VNM.1.2_1,urban,2014,3.379908042064774e-05,-1.5601225893784765,9.587142432286521,,,,0.00019502193009345625,7.944414933167776,283650.984375,-0.6311359182088361,86.50217706821479,33.38171262699564,Bac Kan,Northern Midlands and Mountain Areas,Cho Moi,#F05223
VNM.1_1,VNM.1.3_1,rural,2014,0.0003099772857448094,-2.8533653180406127,7.124878768492887,,,,0.00046142778849067476,-8.172026685844946,22985.1640625,2.4887236228833487,52.448071216617215,28.041543026706233,An Giang,Mekong River Delta,Chau Doc,#00AAAE
VNM.1_1,VNM.1.3_1,total,2014,8.334767225881406e-05,-1.0611355078884332,9.362733666133083,,,,0.00019320904552034,11.082623832934836,112333.475097656,-1.0102976305459976,61.690140845070424,21.408450704225352,An Giang,Mekong River Delta,Chau Doc,#00AAAE
VNM.1_1,VNM.1.3_1,urban,2014,9.716174871187796e-05,0.31928399836411714,9.25001139823417,,,,0.00011656733035395675,15.336352252983488,95202.19140625,-3.426982909019638,67.27140783744558,17.851959361393323,An Giang,Mekong River Delta,Chau Doc,#00AAAE
VNM.1_1,VNM.1.4_1,rural,2014,7.660848760799418e-05,-4.6969433549648105,6.410763430088358,,,,0.0006715051258057502,-9.083230949831055,83682.15625,2.542610266671841,72.92284866468843,45.40059347181009,An Giang,Mekong River Delta,Chau Phu,#00AAAE
VNM.1_1,VNM.1.4_1,total,2014,3.5105166495643536e-05,-0.641629865540061,8.781514288780858,0.9595981303725853,-2.11182655667691,-4.127917131115078,0.00038075482743801884,-6.276595494691506,250148.771972656,-0.15982895171176015,76.05633802816902,45.352112676056336,An Giang,Mekong River Delta,Chau Phu,#00AAAE
VNM.1_1,VNM.1.4_1,urban,2014,5.3348452464562905e-05,,8.683618049955223,,,,0.0002399177873208746,,162771.6953125,,72.49637155297532,45.42815674891146,An Giang,Mekong River Delta,Chau Phu,#00AAAE
VNM.1_1,VNM.1.5_1,rural,2014,9.784302235768446e-05,-4.483143448400828,6.418317282199956,,,,0.0006866888489734225,-7.5988635373792635,65598.109375,1.3972716817061803,68.32344213649851,46.439169139465875,Tay Ninh,South East,Chau Thanh,#F6A91B
VNM.1_1,VNM.1.5_1,total,2014,4.875552877735023e-05,-1.3931782462629716,8.535391692365852,-51.753709805755136,10.320165901152167,2.6185275884609505,0.0004255879868422955,-6.106859678522625,175065.103515625,-0.08880847245510415,66.54929577464789,50.985915492957744,Tay Ninh,South East,Chau Thanh,#F6A91B
VNM.1_1,VNM.1.5_1,urban,2014,7.611082745218952e-05,-0.5122753537645797,8.407345897402006,,,,0.0002666945748246787,-5.192976881160572,110461.890625,-0.8617187165030349,61.10304789550072,52.1044992743106,Tay Ninh,South East,Chau Thanh,#F6A91B
VNM.1_1,VNM.1.6_1,rural,2014,0.0004182093806373433,-0.20365410634013426,6.128107003259434,,,,0.0003258205526034122,-4.912423031657598,14653.203125,0.26448519337969323,31.4540059347181,13.501483679525222,An Giang,Mekong River Delta,Long Xuyen,#00AAAE
VNM.1_1,VNM.1.6_1,total,2014,3.4973364343069514e-05,-1.4520968602466988,9.91973368713044,-12.64970342980477,-2.1252285098566692,-5.011866579852608,8.643590214619905e-05,8.189661467439402,283636.815429688,-0.8549521661933013,89.15492957746478,10.0,An Giang,Mekong River Delta,Long Xuyen,#00AAAE
VNM.1_1,VNM.1.6_1,urban,2014,3.682091494107216e-05,-0.732395520885265,9.896966795536429,,,,7.344778319702029e-05,7.467000887485287,268786.552734375,-1.0419619364225308,89.40493468795356,9.869375907111756,An Giang,Mekong River Delta,Long Xuyen,#00AAAE
VNM.1_1,VNM.1.7_1,rural,2014,8.816204743409708e-05,-13.488746417905562,5.936787504422385,,,,0.0005250389940557456,-4.184560234505308,67339.4921875,5.694283987229309,62.388724035608305,33.976261127596445,An Giang,Mekong River Delta,Phu Tan,#00AAAE
VNM.1_1,VNM.1.7_1,total,2014,3.971003800765125e-05,-4.97188825378283,8.479016024003233,-27.9490158496286,-1.7029392671695787,-1.465147926785093,0.00031229993710908205,9.18720275869025,213523.241210938,-0.36439474936879046,70.14084507042253,39.436619718309856,An Giang,Mekong River Delta,Phu Tan,#00AAAE
VNM.1_1,VNM.1.7_1,urban,2014,5.652407479945637e-05,-1.7469517663629697,8.397281908168726,,,,0.00021086946780295266,-1.9575582200868413,148561.15625,-1.7075876629087716,67.48911465892598,37.59071117561684,An Giang,Mekong River Delta,Phu Tan,#00AAAE
VNM.1_1,VNM.1.8_1,rural,2014,9.900730427432006e-05,-12.95478524379935,6.073040750159668,,,,0.0008386590532562569,-2.626430219323861,61339.3203125,5.173638785780965,62.09198813056379,53.11572700296736,An Giang,Mekong River Delta,Tinh Bien,#00AAAE
VNM.1_1,VNM.1.8_1,total,2014,6.411279639863839e-05,-3.2901715450300184,7.98958213403631,,,,0.0005857640348410245,2.6144113089582754,124617.589355469,-0.22743478836444453,48.80281690140845,57.887323943661976,An Giang,Mekong River Delta,Tinh Bien,#00AAAE
VNM.1_1,VNM.1.8_1,urban,2014,0.00012440032458423394,-3.76641027950394,7.830849062651324,,,,0.00034239153275224444,18.045637688658477,62948.783203125,-5.384691903432004,44.1944847605225,64.15094339622641,An Giang,Mekong River Delta,Tinh Bien,#00AAAE
VNM.1_1,VNM.1.9_1,rural,2014,0.00010211830079916542,-5.477368467207134,4.86436776200467,,,,0.0003404314821737019,-6.047179053606044,47634.6328125,2.118898735738628,40.94955489614243,15.281899109792285,Tay Ninh,South East,Tan Chau,#F6A91B
